id,name,category,verificationStatus,address,lat,lng,rating,userRatingCount,website,phone
ChIJK7xLl1gZ2jERP_GdUY9XNLo,"VivoCity",mall,needs_check,"1 HarbourFront Walk, Singapore 098585",1.2647138999999998,103.8231658,4.5,54287,"http://www.vivocity.com.sg/","6377 6870"
ChIJ0QX_Brki2jER-pZKNdqk_a8,"East Coast Park",park,needs_check,"Singapore",1.3007841999999998,103.9121866,4.6,31556,"https://www.nparks.gov.sg/visit/parks/park-detail/east-coast-park",""
ChIJ20X__K4Z2jERRE8GRs-d8HE,"Suntec City",mall,needs_check,"3 Temasek Blvd, Singapore 038983",1.2950324,103.85830150000001,4.4,27096,"https://sunteccity.com.sg/",""
ChIJ7xlFdKwT2jERXrseJIzS6tI,"Citrus By The Pool",cafe,needs_check,"3 Woodlands Street 13, Woodlands Swimming Complex, Singapore 738600",1.4344838,103.77948479999999,4.9,24975,"http://www.citrusbythepool.com/","6366 6581"
ChIJa9YM2-wP2jERmOUStQKyiS0,"Jurong Point",mall,needs_check,"1 Jurong West Central 2, Singapore 648886",1.3397443,103.7067297,4.4,22849,"https://www.jurongpoint.com.sg/","6950 8134"
ChIJZ1omp8gZ2jERgDUAb_hBKLY,"City Square Mall",mall,needs_check,"180 Kitchener Rd, Singapore 208539",1.3114516,103.85616080000001,4.3,22604,"http://www.citysquaremall.com.sg/","6595 6595"
ChIJeRqAraYX2jERQpyIAXSU1SU,"NEX",mall,needs_check,"Serangoon Central, 23, Singapore 556083",1.3507155,103.8720247,4.3,22025,"http://www.nex.com.sg/","6416 6366"
ChIJb20nHg8Q2jERuBnOGGnuq-s,"Jem",mall,needs_check,"50 Jurong Gateway Rd, Singapore 608549",1.332647,103.7433111,4.3,17610,"http://www.jem.sg/","6225 5536"
ChIJ9UKUtjsZ2jER-VszUURb3LI,"Marina Square",mall,needs_check,"6 Raffles Blvd, Singapore 039594",1.2911534,103.8576778,4.4,17404,"http://www.marinasquare.com.sg/",""
ChIJ_7pt85EZ2jERPfKpmuwrzys,"Ngee Ann City",mall,needs_check,"391A Orchard Rd, Singapore 238873",1.3025571999999999,103.83456799999999,4.4,16121,"http://www.ngeeanncity.com.sg/","6733 0337"
ChIJT80kwuYW2jERhogn4ZW0fG4,"AMK Hub",mall,needs_check,"53 Ang Mo Kio Ave 3, Singapore 569933",1.3690023,103.8481594,4.2,15053,"https://www.amkhub.com.sg/","6753 9000"
ChIJR80Wwcoi2jER8yMuAZodQFk,"Bedok Mall",mall,needs_check,"311 New Upper Changi Rd, Singapore 467360",1.3247162,103.92934299999999,4.2,14838,"https://www.capitaland.com/sg/malls/bedokmall/en.html",""
ChIJLTCPpuQV2jERYMYF_2uprDE,"Waterway Point",mall,needs_check,"83 Punggol Central, Singapore 828761",1.4064412,103.9020846,4.4,14770,"http://www.waterwaypoint.com.sg/","6812 7300"
ChIJ82AoVA8Q2jERkHnr1RPW9B4,"Westgate",mall,needs_check,"3 Gateway Dr, Singapore 608532",1.334382,103.7427836,4.3,14718,"https://www.capitaland.com/sg/malls/westgate/en.html","6908 3737"
ChIJl_sOMpIZ2jERKgmuCf4FCs0,"Paragon",mall,needs_check,"290 Orchard Rd, Singapore 238859",1.3039633,103.8360565,4.4,14006,"https://www.paragon.com.sg/",""
ChIJg0iEvagT2jERLpza72gaJ08,"Causeway Point",mall,needs_check,"1 Woodlands Sq, Singapore 738099",1.4360933,103.78594710000002,4.3,13688,"https://www.causewaypoint.com.sg/","6894 2237"
ChIJb-ErmBYX2jERBl1gF7cPIj4,"Junction 8",mall,needs_check,"9 Bishan Pl, Singapore 579837",1.3506808,103.8487631,4.2,13359,"http://junction8.com.sg/",""
ChIJPyKq0o082jERd1bghvwiadU,"Changi City Point",mall,needs_check,"5 Changi Business Park Central 1, Singapore 486038",1.3342732,103.96273869999999,4.3,12381,"http://www.changicitypoint.com.sg/",""
ChIJwSNJ77oZ2jERuX8Bl5bU2tI,"Bugis+",mall,needs_check,"201 Victoria St, Singapore 188067",1.2995955,103.8542191,4.3,12300,"http://www.bugisplus.com.sg/en/",""
ChIJg6KI8ZEZ2jER9W7OwvUXPRs,"Takashimaya Shopping Centre",mall,needs_check,"391 Orchard Rd, Singapore 238872",1.3024048,103.8347024,4.5,11965,"https://www.takashimayasc.com.sg/","6738 1111"
ChIJVSYjJKIZ2jERpRFinATD52s,"Fort Canning Park",park,needs_check,"Singapore",1.2943875999999999,103.8458033,4.6,11489,"https://www.nparks.gov.sg/visit/parks/park-detail/fort-canning-park","1800 471 7300"
ChIJ18C-mwoZ2jERlpSawcucgk0,"Clarke Quay Central",mall,needs_check,"6 Eu Tong Sen St, Singapore 059817",1.2890252,103.8466098,4.3,11147,"https://www.fareastmalls.com.sg/Clarke-Quay-Central/",""
ChIJq8UGJo4a2jER0ypiQDLiXpg,"The Clementi Mall",mall,needs_check,"3155 Commonwealth Ave W, Singapore 129588",1.314918,103.76430889999999,4.1,10604,"https://www.theclementimall.com/","6659 4118"
ChIJ5QaXI4kZ2jER6yB_aFocFMw,"LAMY RAFFLES CITY",mall,needs_check,"252 N Bridge Rd, B1-K7 Raffles City, Singapore 179103",1.2940099999999999,103.85314729999999,4.4,10468,"http://rafflescity.com.sg/","6318 0238"
ChIJVVVVcOcZ2jERuHgJL1B5Aj4,"Velocity @ Novena Square",mall,needs_check,"238 Thomson Rd, Singapore 307683",1.3200049,103.8439137,4.1,10200,"http://www.velocitynovena.com/","6358 0700"
ChIJy5hMcg8X2jERZ88iA4l4aBY,"Compass One",mall,needs_check,"1 Sengkang Square, Singapore 545078",1.3920064,103.89505,4.2,10127,"http://www.compassone.sg/","6819 0733"
ChIJjQcl90sY2jER0d9ui1pFp9s,"Kallang Wave Mall",mall,needs_check,"1 Stadium Pl, Singapore 397628",1.3026669,103.87376409999999,4.3,9184,"https://www.sportshub.com.sg/shop-dine","6539 9276"
ChIJ2WUXmnEY2jERoGOSkJVgnrY,"Parkway Parade",mall,needs_check,"80 Marine Parade Rd, Singapore 449269",1.3013366,103.90523329999999,4.3,9062,"https://www.parkwayparade.com.sg/","6344 1242"
ChIJe5qyMnkZ2jERYRN7QP_pCMQ,"Tiong Bahru Plaza",mall,needs_check,"302 Tiong Bahru Rd, Singapore 168732",1.2866535,103.82714589999999,4.2,8966,"http://www.tiongbahruplaza.com.sg/","6276 4686"
ChIJ91hVlEIa2jERm_cxYZ2WKow,"The Star Vista",mall,needs_check,"1 Vista Exchange Grn, Singapore 138617",1.3068072,103.7883997,4.3,8931,"https://thestarvista.sg/","6694 3111"
ChIJjyjjwCAX2jERxYHvTxAw4X0,"Bishan-Ang Mo Kio Park",park,needs_check,"1384 Ang Mo Kio Ave 1, Singapore",1.3634088,103.8435614,4.5,8878,"https://www.nparks.gov.sg/contact-us",""
ChIJ_8HAraQR2jERaLrfjzD5k7Y,"Hillion Mall",mall,needs_check,"17 Petir Rd, Singapore 678278",1.3785144,103.76301959999999,4.2,8817,"https://www.hillionmall.com.sg/","6769 0009"
ChIJkyCpkWcT2jER1Nsl0ZvOI4Q,"Bird Paradise",park,needs_check,"20 Mandai Lake Rd, Singapore 729825",1.4071539,103.7812684,4.7,8031,"https://www.mandai.com/en/bird-paradise.html?cmp=www%7Cbpd%7Cawa%7Cgen%7Cgg_biz%7Cgg%7C%7Cgoogle_business_profile%7C&utm_campaign=gen&utm_medium=gg_biz&utm_source=gg&",""
